loanNumber,purpose,strata,clientId,dateOfBirth,cycle,province,district,submissionDate,approvalDate,disbursementDate,appliedAmount,approvedAmount,disbursedAmount,loanType,termsDuration,actualPaymentAmount,principalPaid,interestPaid,insuranceFeePaid,totalLateFeesPaid,excessAmountPaid,interestWaived,currentBalance,principalBalance,interestBalance,feesBalance,amountPastDue,principalPastDue,interestPastDue,feesPastDue,scheduledPrincipalAmount,scheduledInterestAmount,scheduledFeesAmount,scheduledPaymentAmount,lastPaymentAmount,lastPrincipalAmount,lastInterestAmount,lastFeesAmount,lastLateFeesAmount,lastExcessAmount,daysInArrears,installmentInArrears,lastPaymentDate,loanStatus,industrySectorOfActivity,businessSubSector,countrySpecific,country_code
LN-RW-2022-203760,Equipment,host,RW-RW-2018-S2-U00560,1982-02-26,2,Eastern,Gasabo,2022-09-14,2022-09-19,2022-09-23,366.08,314.78,287.64,Working Capital,9,144.11,113.53,22.7,1.02,0.0,6.87,0.0,227.79,174.12,45.88,13.05,0.0,0.0,0.0,0.0,31.96,7.62,1.45,41.03,51.09,41.87,16.84,0.34,0.0,0.0,0,0,2022-11-02,active,Hospitality and Tourism,Coffee Shop,Rwanda,RW
LN-RW-2026-345844,Rent/Utilities,refugee,RW-RW-2021-S1-U00103,1980-09-07,3,Northern,Rwamagana,2026-06-03,2026-06-17,2026-06-21,345.33,351.86,337.73,Inventory Loan,18,227.69,164.14,46.9,2.45,0.0,14.2,0.0,213.06,173.59,42.81,8.57,0.0,0.0,0.0,0.0,18.76,4.98,0.48,24.22,31.8,17.84,4.17,1.43,0.0,8.36,0,0,2026-08-05,active,Professional Services,Consulting,Rwanda,RW
LN-ET-2024-510595,Working capital,refugee,ET-ET-2022-S3-U00963,1982-06-23,2,Tigray,Yeka,2024-06-10,2024-06-12,2024-06-26,582.28,577.96,576.59,Seasonal Loan,6,246.03,198.75,17.35,2.25,8.07,19.62,0.0,424.59,377.84,44.29,18.2,63.69,37.78,4.43,1.82,96.1,10.27,4.38,110.75,120.64,78.15,24.58,11.23,3.32,3.35,3,1,2024-08-13,active,Retail & Trade,Grocery,Ethiopia,ET
LN-KE-2026-132734,Equipment,host,KE-KE-2024-S3-U00107,2003-07-23,1,Nairobi,Mombasa,2026-09-05,2026-10-04,2026-10-07,160.71,151.41,143.29,Emergency Loan,6,84.39,61.56,14.7,0.52,0.0,7.61,0.0,102.13,81.73,25.31,2.07,0.0,0.0,0.0,0.0,23.88,6.67,0.34,30.9,26.49,15.87,5.88,1.03,0.0,3.7,0,0,2026-12-12,active,Professional Services,Hair Salon,Kenya,KE
LN-SS-2020-586653,Rent/Utilities,host,SS-SS-2025-S2-U01256,1995-09-11,2,Central Equatoria,Torit,2020-08-18,2020-08-28,2020-09-07,294.83,228.05,210.13,Asset Finance,6,62.69,53.27,5.05,0.57,0.0,3.79,0.0,186.49,156.86,21.52,10.21,0.0,0.0,0.0,0.0,35.02,4.43,1.7,41.15,22.69,19.06,6.86,0.09,0.0,0.0,0,0,2021-02-10,active,Manufacturing,Crafts,South Sudan,SS
LN-ET-2025-688764,Equipment,host,ET-ET-2025-S2-U01435,2007-04-09,4,Amhara,Bole,2025-08-21,2025-09-16,2025-09-28,299.75,232.34,225.52,Asset Finance,9,258.87,208.56,24.6,3.68,0.0,22.03,0.0,1.14,16.97,0.98,5.21,0.0,0.0,0.0,0.0,25.06,2.84,0.58,28.48,32.68,18.34,8.52,1.74,0.0,4.08,0,0,2026-04-08,closed,Transport,Delivery,Ethiopia,ET
LN-RW-2021-828990,Stock purchase,host,RW-RW-2021-S3-U04172,1990-08-24,1,Southern,Nyarugenge,2021-10-09,2021-10-19,2021-10-28,332.62,295.63,286.22,Working Capital,12,140.39,108.09,32.27,0.82,4.21,0.0,0.0,238.46,178.13,52.7,1.23,35.77,17.81,5.27,0.12,23.85,7.08,0.45,31.39,33.57,25.71,5.6,1.36,0.5,0.39,14,1,2022-05-26,active,ICT,Device Repair,Rwanda,RW
LN-ET-2025-758748,Equipment,host,ET-ET-2019-S3-U00639,1982-08-10,3,Tigray,Yeka,2025-04-01,2025-04-20,2025-04-26,1734.52,1540.65,1535.08,Asset Finance,24,459.98,347.04,95.9,1.04,5.13,10.88,49.4,1558.32,1188.05,303.52,24.72,233.75,118.8,30.35,2.47,63.96,18.7,1.24,83.91,114.95,74.46,21.6,3.73,1.97,13.19,13,1,2025-07-04,restructured,Retail & Trade,Pharmacy,Ethiopia,ET
LN-ET-2021-546728,Rent/Utilities,host,ET-ET-2021-S2-U01698,1979-12-13,1,Tigray,Bole,2021-06-27,2021-07-27,2021-07-28,249.88,208.43,197.85,Seasonal Loan,24,65.7,49.97,7.05,1.0,0.87,6.81,0.0,166.5,147.88,18.06,4.85,24.97,14.79,1.81,0.49,10.0,1.05,0.24,11.28,10.92,7.91,3.09,0.15,0.04,0.0,56,4,2021-11-20,defaulted,Agriculture,Poultry,Ethiopia,ET
LN-ET-2022-567307,Rent/Utilities,refugee,ET-ET-2022-S2-U01076,1980-12-02,3,Oromia,Bahir Dar,2022-12-04,2022-12-23,2023-01-01,218.44,177.8,175.54,Inventory Loan,24,28.42,22.57,4.51,0.18,2.09,0.0,0.0,189.4,152.98,30.73,3.54,28.41,15.3,3.07,0.35,10.0,1.47,0.23,11.7,12.31,7.82,1.38,0.7,0.27,2.12,94,2,2023-03-23,defaulted,Agriculture,Vegetables,Ethiopia,ET
LN-KE-2022-706286,Working capital,host,KE-KE-2023-S1-U03329,1986-01-26,1,Nairobi,Nairobi,2022-03-14,2022-04-05,2022-04-17,100.0,100.0,93.37,Emergency Loan,18,79.04,58.61,12.91,1.04,0.0,6.48,0.0,41.05,34.76,8.24,3.99,0.0,0.0,0.0,0.0,10.0,1.17,0.22,11.4,9.43,7.27,1.71,0.66,0.0,0.0,0,0,2022-11-11,active,Hospitality and Tourism,Restaurant,Kenya,KE
LN-RW-2024-375549,Rent/Utilities,host,RW-RW-2020-S3-U01832,1982-07-26,1,Kigali City,Rwamagana,2024-08-21,2024-09-13,2024-09-15,111.7,100.0,92.83,Asset Finance,24,112.09,89.2,15.77,0.72,0.0,6.41,0.0,1.36,3.63,0.79,3.34,0.0,0.0,0.0,0.0,10.0,1.0,0.14,11.14,13.21,9.5,2.57,0.35,0.0,0.79,0,0,2025-03-23,closed,Agriculture,Vegetables,Rwanda,RW
LN-KE-2025-559311,Equipment,refugee,KE-KE-2018-S3-U04319,1978-03-26,3,Western,Nakuru,2025-04-26,2025-05-06,2025-05-17,328.29,260.27,253.51,Asset Finance,3,107.87,78.2,15.86,0.46,0.0,13.35,0.0,205.19,175.31,39.73,2.63,0.0,0.0,0.0,0.0,84.5,18.53,0.88,103.91,101.24,83.36,32.3,2.12,0.0,0.0,0,0,2025-08-09,active,Professional Services,Hair Salon,Kenya,KE
LN-RW-2026-425964,Rent/Utilities,host,RW-RW-2022-S1-U04661,1996-11-24,4,Southern,Musanze,2026-04-04,2026-04-13,2026-04-19,230.31,173.03,164.44,Asset Finance,6,87.06,64.95,18.63,1.01,0.0,2.47,0.0,127.6,99.5,26.26,2.84,0.0,0.0,0.0,0.0,27.41,7.48,0.47,35.36,41.95,28.6,13.09,0.42,0.0,0.0,0,0,2026-07-18,active,Transport,Taxi,Rwanda,RW
LN-KE-2026-710246,Stock purchase,refugee,KE-KE-2022-S3-U00054,1994-09-26,3,Nairobi,Nakuru,2026-10-15,2026-11-10,2026-11-22,328.44,344.46,316.19,Inventory Loan,6,392.15,284.07,55.0,5.36,3.03,44.69,0.0,0.0,32.12,0.0,10.24,0.0,3.21,0.0,1.02,52.7,9.17,2.21,64.08,54.03,33.65,11.19,1.19,0.63,7.38,6,4,2027-03-10,closed,Agriculture,Grains,Kenya,KE
LN-ET-2022-247172,Emergency,host,ET-ET-2023-S3-U03564,1973-08-25,3,Tigray,Bahir Dar,2022-03-31,2022-04-19,2022-05-03,120.95,109.94,109.13,Seasonal Loan,9,57.82,46.25,5.72,0.94,0.0,4.9,0.0,69.67,62.88,6.67,3.89,0.0,0.0,0.0,0.0,12.13,1.38,0.43,13.94,18.3,14.29,4.07,1.16,0.0,0.0,0,0,2022-10-18,active,Professional Services,Repairs,Ethiopia,ET
LN-RW-2023-924131,Working capital,host,RW-RW-2018-S2-U00021,1980-05-10,2,Kigali City,Rwamagana,2023-06-14,2023-06-29,2023-07-05,791.76,622.77,564.94,Asset Finance,9,699.24,509.2,118.91,7.5,3.99,59.65,0.0,3.94,55.74,0.14,7.67,0.59,5.57,0.01,0.77,62.77,13.23,1.3,77.29,107.44,75.78,21.71,3.89,0.82,5.25,14,1,2023-08-10,closed,Agriculture,Vegetables,Rwanda,RW
LN-KE-2019-980398,Equipment,host,KE-KE-2023-S1-U03329,1986-01-26,1,Nairobi,Nakuru,2019-04-29,2019-05-29,2019-06-01,227.18,199.12,181.1,Seasonal Loan,6,117.31,101.51,11.58,0.37,0.0,3.85,0.0,94.4,79.59,14.4,3.96,0.0,0.0,0.0,0.0,30.18,4.33,0.66,35.17,17.6,11.89,3.39,1.74,0.0,0.59,0,0,2019-06-16,active,Hospitality and Tourism,Restaurant,Kenya,KE
LN-RW-2023-788096,Expansion,refugee,RW-RW-2026-S3-U01704,1989-06-28,4,Western,Musanze,2023-08-08,2023-08-17,2023-08-29,100.0,100.0,90.33,Emergency Loan,18,72.83,49.57,11.98,0.33,0.0,10.94,0.0,40.52,40.76,6.74,3.77,0.0,0.0,0.0,0.0,10.0,1.04,0.21,11.25,11.53,9.51,1.45,0.19,0.0,0.37,0,0,2023-11-27,active,Transport,Logistics,Rwanda,RW
LN-SS-2026-937768,Rent/Utilities,refugee,SS-SS-2020-S1-U00920,1997-10-20,1,Central Equatoria,Torit,2026-11-05,2026-12-01,2026-12-09,367.74,317.46,313.58,Working Capital,24,254.64,200.25,55.71,2.96,0.0,0.0,0.0,162.63,113.34,33.06,10.06,0.0,0.0,0.0,0.0,13.07,3.7,0.42,17.18,21.61,16.07,5.79,1.26,0.0,0.0,0,0,2026-12-27,active,Transport,Moto,South Sudan,SS
LN-ET-2024-767441,Rent/Utilities,host,ET-ET-2024-S2-U04229,2001-01-09,5,Oromia,Yeka,2024-06-16,2024-07-05,2024-07-10,982.26,956.75,905.88,Inventory Loan,9,136.49,105.66,12.84,1.48,12.3,4.21,0.0,942.5,800.22,112.9,23.37,141.37,80.02,11.29,2.34,100.65,13.97,3.96,118.59,59.99,35.22,18.22,2.38,2.71,1.45,82,3,2024-11-13,defaulted,Construction,Hardware,Ethiopia,ET
LN-ET-2026-648457,Working capital,host,ET-ET-2020-S3-U04321,1971-02-25,2,Amhara,Bahir Dar,2026-05-24,2026-06-11,2026-06-19,278.24,244.42,234.36,Inventory Loan,18,198.48,140.99,22.24,2.87,0.0,32.37,0.0,93.64,93.37,21.11,10.18,0.0,0.0,0.0,0.0,13.02,2.41,0.57,15.99,10.88,9.01,2.29,0.3,0.0,0.0,0,0,2026-11-10,active,Transport,Taxi,Ethiopia,ET
LN-RW-2022-674255,Stock purchase,host,RW-RW-2023-S1-U02277,1983-05-08,2,Southern,Rwamagana,2022-11-27,2022-12-17,2022-12-21,503.92,469.54,468.61,Inventory Loan,12,387.89,288.43,39.21,1.28,0.0,58.97,0.0,164.75,180.17,20.1,22.9,0.0,0.0,0.0,0.0,39.05,4.94,1.91,45.9,60.05,46.5,14.83,2.17,0.0,0.0,0,0,2023-03-26,active,Hospitality and Tourism,Restaurant,Rwanda,RW
LN-RW-2020-162078,Stock purchase,host,RW-RW-2021-S2-U03130,1976-08-03,2,Eastern,Nyarugenge,2020-03-05,2020-03-23,2020-03-24,246.01,242.19,225.79,Inventory Loan,3,87.31,73.9,10.63,0.5,0.0,2.29,0.0,185.97,151.89,32.21,3.1,0.0,0.0,0.0,0.0,75.26,14.28,1.03,90.58,84.05,65.62,29.0,1.93,0.0,0.0,0,0,2020-04-13,active,Professional Services,Consulting,Rwanda,RW
LN-ET-2024-138933,Stock purchase,refugee,ET-ET-2021-S1-U01202,1989-08-28,1,Addis Ababa,Bole,2024-09-11,2024-09-25,2024-10-06,1469.41,1296.11,1243.0,Emergency Loan,18,384.88,311.2,57.84,1.48,2.34,12.02,25.11,1183.39,931.8,221.6,12.35,177.51,93.18,22.16,1.24,69.06,16.92,0.82,86.79,58.67,48.01,16.98,1.36,1.44,0.0,24,3,2024-11-29,restructured,Professional Services,Tailoring,Ethiopia,ET
LN-KE-2026-410341,Expansion,host,KE-KE-2022-S2-U01630,1999-12-10,1,Coast,Kajiado,2026-07-12,2026-08-06,2026-08-18,277.99,223.16,206.58,Asset Finance,6,138.87,110.66,16.16,0.79,0.0,11.26,0.0,110.51,95.92,19.02,6.19,0.0,0.0,0.0,0.0,34.43,5.86,1.03,41.33,55.08,32.6,7.78,3.1,0.0,11.6,0,0,2026-10-05,active,Agriculture,Poultry,Kenya,KE
LN-RW-2022-443939,Emergency,host,RW-RW-2021-S1-U04132,1967-03-02,2,Northern,Gasabo,2022-01-25,2022-02-01,2022-02-10,195.53,192.58,183.28,Emergency Loan,6,89.01,60.85,19.1,0.47,0.0,8.58,0.0,150.13,122.42,31.89,3.61,0.0,0.0,0.0,0.0,30.55,8.5,0.6,39.65,16.62,9.89,3.64,0.28,0.0,2.81,0,0,2022-05-31,active,Agriculture,Vegetables,Rwanda,RW
LN-RW-2023-605659,Stock purchase,host,RW-RW-2022-S3-U00644,1991-05-06,1,Northern,Gasabo,2023-04-19,2023-05-19,2023-05-23,910.31,745.04,706.11,Emergency Loan,3,888.18,691.33,125.06,13.5,0.0,58.3,0.0,7.19,14.78,39.15,11.45,0.0,0.0,0.0,0.0,235.37,54.73,3.82,293.92,187.65,109.92,49.91,6.16,0.0,21.65,0,0,2023-06-22,closed,ICT,Software Services,Rwanda,RW
LN-ET-2025-882347,Expansion,host,ET-ET-2026-S2-U00252,1999-02-03,1,Tigray,Bole,2025-02-07,2025-02-08,2025-02-12,100.0,100.0,96.48,Inventory Loan,12,57.55,39.69,9.2,0.58,0.0,8.08,0.0,65.0,56.79,13.78,1.87,0.0,0.0,0.0,0.0,10.0,1.91,0.16,12.07,11.98,7.19,3.79,0.47,0.0,0.54,0,0,2025-07-23,active,Professional Services,Repairs,Ethiopia,ET
LN-SS-2026-161648,Equipment,host,SS-SS-2024-S3-U02977,1986-11-21,3,Central Equatoria,Yambio,2026-07-24,2026-08-17,2026-08-22,696.14,658.89,639.78,Asset Finance,9,374.39,296.72,46.87,4.94,0.0,25.86,0.0,405.74,343.05,63.74,19.45,0.0,0.0,0.0,0.0,71.09,12.29,2.16,85.54,85.85,67.79,17.35,3.08,0.0,0.0,0,0,2026-11-08,active,Construction,Carpentry,South Sudan,SS
LN-ET-2019-640913,Working capital,host,ET-ET-2018-S1-U01229,1988-02-01,3,Addis Ababa,Kirkos,2019-10-04,2019-10-18,2019-10-19,729.97,633.13,586.12,Working Capital,18,715.68,536.16,84.77,11.01,2.39,81.35,0.0,0.02,49.96,23.43,7.99,0.0,5.0,2.34,0.8,32.56,6.01,0.58,39.15,41.99,29.41,5.49,1.73,1.75,3.61,7,2,2020-02-06,closed,Retail & Trade,Phone Accessories,Ethiopia,ET
LN-RW-2026-991816,Emergency,refugee,RW-RW-2026-S2-U03904,1983-06-25,1,Northern,Nyarugenge,2026-07-12,2026-07-25,2026-08-04,487.56,369.32,349.32,Emergency Loan,24,97.19,76.31,12.59,0.46,4.43,3.39,0.0,320.63,273.0,43.75,5.75,48.09,27.3,4.38,0.58,14.55,2.35,0.42,17.33,14.6,8.2,3.75,0.16,0.31,2.19,59,4,2026-11-24,defaulted,Transport,Moto,Rwanda,RW
LN-KE-2020-386723,Expansion,host,KE-KE-2022-S3-U01191,1983-06-02,2,Nairobi,Kajiado,2020-05-29,2020-06-20,2020-06-29,223.5,176.52,175.78,Inventory Loan,3,100.98,74.95,17.72,0.57,0.0,7.74,0.0,135.62,100.83,34.79,6.98,0.0,0.0,0.0,0.0,58.59,17.5,2.33,78.42,109.99,61.41,17.44,2.09,0.0,29.06,0,0,2020-08-16,active,Transport,Taxi,Kenya,KE
LN-ET-2023-903520,Rent/Utilities,refugee,ET-ET-2018-S1-U04967,2000-05-24,1,SNNPR,Yeka,2023-02-05,2023-02-27,2023-03-06,140.77,106.91,100.97,Emergency Loan,6,111.23,88.56,8.33,0.72,0.0,13.62,0.0,0.21,12.41,0.0,1.43,0.0,0.0,0.0,0.0,16.83,1.39,0.24,18.45,18.02,12.79,4.17,0.7,0.0,0.36,0,0,2023-06-16,closed,Personal Services,Laundry,Ethiopia,ET
LN-ET-2023-854717,Expansion,host,ET-ET-2018-S3-U03742,1984-09-07,2,SNNPR,Yeka,2023-09-11,2023-09-20,2023-09-29,597.92,510.28,470.77,Emergency Loan,18,413.94,266.48,68.88,2.43,0.0,76.15,0.0,212.36,204.29,61.27,21.71,0.0,0.0,0.0,0.0,26.15,7.23,1.21,34.59,46.83,29.55,11.89,1.91,0.0,3.48,0,0,2023-11-20,active,Retail & Trade,Clothing,Ethiopia,ET
LN-RW-2021-132275,Expansion,host,RW-RW-2021-S2-U01687,1986-05-27,2,Kigali City,Huye,2021-09-28,2021-10-19,2021-10-31,1116.27,1064.05,1035.95,Inventory Loan,9,428.46,373.45,38.34,1.97,0.0,14.69,0.0,741.25,662.49,76.53,13.52,0.0,0.0,0.0,0.0,115.11,12.76,1.5,129.37,103.03,57.55,34.6,1.67,0.0,9.21,0,0,2021-11-30,active,Hospitality and Tourism,Restaurant,Rwanda,RW
LN-KE-2024-691296,Emergency,host,KE-KE-2021-S3-U04755,1981-10-17,4,Coast,Kisumu,2024-03-20,2024-03-23,2024-04-01,430.52,428.74,418.01,Working Capital,9,184.83,144.81,18.6,0.38,0.0,21.04,0.0,306.0,273.21,35.92,17.28,0.0,0.0,0.0,0.0,46.45,6.06,1.92,54.42,38.04,24.17,5.03,1.61,0.0,7.23,0,0,2024-06-24,active,Professional Services,Hair Salon,Kenya,KE
LN-RW-2020-787884,Stock purchase,host,RW-RW-2026-S2-U01353,1998-12-25,1,Southern,Rwamagana,2020-05-20,2020-06-02,2020-06-16,369.96,283.49,282.48,Asset Finance,3,125.56,97.1,8.86,0.96,5.78,12.87,0.0,197.64,185.39,17.64,5.97,29.65,18.54,1.76,0.6,94.16,8.83,3.92,106.91,149.13,115.64,23.13,11.75,1.85,0.0,14,2,2020-08-13,active,Professional Services,Consulting,Rwanda,RW
LN-RW-2026-481999,Stock purchase,host,RW-RW-2024-S1-U00690,1992-07-26,4,Eastern,Rwamagana,2026-10-22,2026-10-30,2026-10-30,702.04,557.69,510.5,Working Capital,12,330.62,262.27,36.87,4.92,12.48,14.08,0.0,290.26,248.23,40.74,11.06,43.54,24.82,4.07,1.11,42.54,6.47,1.96,50.97,43.56,29.69,5.72,0.31,1.45,6.38,10,4,2027-03-31,active,Hospitality and Tourism,Coffee Shop,Rwanda,RW
LN-ET-2024-989707,Rent/Utilities,refugee,ET-ET-2021-S2-U02068,1976-11-22,3,Oromia,Bahir Dar,2024-08-08,2024-08-27,2024-09-06,379.71,292.87,270.37,Emergency Loan,18,361.09,255.77,66.32,1.54,5.77,31.68,0.0,0.0,14.6,7.91,5.18,0.0,1.46,0.79,0.52,15.02,4.12,0.61,19.75,20.25,16.08,5.67,1.44,0.48,0.0,10,2,2024-12-17,closed,Personal Services,Childcare,Ethiopia,ET
LN-RW-2024-621091,Expansion,refugee,RW-RW-2023-S2-U04029,1984-03-08,2,Eastern,Gasabo,2024-04-07,2024-04-08,2024-04-20,593.39,577.9,555.81,Asset Finance,3,745.62,529.92,150.17,9.71,0.0,55.82,0.0,0.0,25.89,1.53,23.05,0.0,0.0,0.0,0.0,185.27,50.57,7.68,243.52,303.51,212.52,69.06,11.43,0.0,10.49,0,0,2024-07-07,closed,Hospitality and Tourism,Lodging,Rwanda,RW
LN-ET-2025-748307,Expansion,host,ET-ET-2026-S2-U00252,1999-02-03,1,Addis Ababa,Mekelle,2025-10-05,2025-10-20,2025-10-28,758.84,575.0,565.62,Asset Finance,6,367.74,308.56,28.64,1.65,0.0,28.89,0.0,289.02,257.06,36.61,22.94,0.0,0.0,0.0,0.0,94.27,10.88,3.82,108.97,50.67,29.98,9.45,3.74,0.0,7.5,0,0,2025-12-11,active,Professional Services,Repairs,Ethiopia,ET
LN-RW-2026-108197,Equipment,host,RW-RW-2023-S3-U02921,1985-02-21,3,Northern,Rubavu,2026-06-01,2026-06-24,2026-06-25,337.2,326.32,300.82,Asset Finance,12,271.42,204.86,45.43,3.02,0.0,18.12,0.0,98.53,95.96,12.24,7.35,0.0,0.0,0.0,0.0,25.07,4.81,0.61,30.49,31.74,25.48,7.33,0.53,0.0,0.0,0,0,2026-10-29,active,Transport,Taxi,Rwanda,RW
LN-KE-2020-703640,Equipment,host,KE-KE-2024-S2-U00659,2003-01-24,1,Nairobi,Kisumu,2020-11-20,2020-11-25,2020-12-09,712.38,534.42,511.52,Emergency Loan,12,291.16,232.49,28.07,0.4,0.0,30.2,0.0,283.86,279.03,29.47,5.17,0.0,0.0,0.0,0.0,42.63,4.79,0.43,47.85,56.74,47.16,10.87,1.29,0.0,0.0,0,0,2021-06-09,active,ICT,Mobile Money,Kenya,KE
LN-ET-2022-838195,Expansion,host,ET-ET-2022-S3-U00139,1996-03-18,3,SNNPR,Bahir Dar,2022-08-07,2022-09-06,2022-09-17,593.71,465.67,459.89,Emergency Loan,3,87.37,73.11,10.24,1.23,12.28,0.0,8.41,471.47,386.78,56.13,4.04,70.72,38.68,5.61,0.4,153.3,24.93,5.44,183.66,56.35,41.0,16.51,0.01,0.17,0.0,22,4,2022-11-02,restructured,Agriculture,Grains,Ethiopia,ET
LN-KE-2023-498958,Emergency,host,KE-KE-2021-S3-U02354,1989-08-29,1,Central,Kajiado,2023-02-19,2023-02-25,2023-03-08,1197.63,942.66,907.21,Working Capital,3,570.8,439.16,58.55,4.8,0.0,68.29,0.0,494.87,468.05,68.84,22.1,0.0,0.0,0.0,0.0,302.4,42.46,7.37,352.23,199.19,150.48,20.92,17.65,0.0,10.14,0,0,2023-04-04,active,Transport,Moto,Kenya,KE
LN-RW-2022-541097,Expansion,host,RW-RW-2019-S2-U04619,2001-04-12,1,Southern,Kicukiro,2022-06-28,2022-07-25,2022-07-26,275.06,266.44,258.66,Asset Finance,18,336.77,238.67,62.37,0.67,0.0,35.06,0.0,0.0,19.98,10.67,4.23,0.0,0.0,0.0,0.0,14.37,4.06,0.23,18.66,14.84,8.25,3.89,0.7,0.0,2.0,0,0,2023-03-15,closed,Personal Services,Beauty,Rwanda,RW
LN-SS-2021-381673,Emergency,host,SS-SS-2022-S3-U04488,1986-04-18,1,Western Equatoria,Juba,2021-10-12,2021-10-25,2021-11-06,419.51,374.38,350.61,Working Capital,12,134.72,105.85,9.88,1.56,0.0,17.43,0.0,256.88,244.76,22.9,3.68,0.0,0.0,0.0,0.0,29.22,2.73,0.31,32.26,37.83,30.47,6.07,0.92,0.0,0.38,0,0,2022-04-23,active,Agriculture,Vegetables,South Sudan,SS
LN-RW-2024-385319,Rent/Utilities,host,RW-RW-2021-S2-U02831,2000-07-24,4,Eastern,Kicukiro,2024-01-18,2024-02-03,2024-02-12,535.35,469.04,453.2,Asset Finance,9,124.88,93.92,14.52,0.56,7.54,8.34,2.03,421.44,359.28,61.24,5.33,63.22,35.93,6.12,0.53,50.36,8.64,1.43,60.43,43.29,31.12,10.71,2.84,1.24,0.0,35,3,2024-05-24,restructured,Professional Services,Tailoring,Rwanda,RW
LN-RW-2023-410272,Expansion,refugee,RW-RW-2019-S1-U03610,1998-12-30,2,Southern,Kicukiro,2023-08-31,2023-09-21,2023-09-25,263.53,242.16,226.88,Working Capital,3,310.67,226.88,67.62,4.4,0.0,11.78,0.0,0.0,0.0,0.0,9.01,0.0,0.0,0.0,0.0,75.63,22.54,3.0,101.17,115.53,81.7,25.64,0.58,0.0,7.62,0,0,2023-10-15,closed,Personal Services,Cleaning,Rwanda,RW
LN-RW-2020-774833,Stock purchase,refugee,RW-RW-2020-S2-U02600,1976-04-22,1,Southern,Kicukiro,2020-11-03,2020-11-25,2020-12-04,414.59,424.42,410.26,Working Capital,9,270.87,218.01,57.83,1.55,0.0,0.0,0.0,252.69,192.25,44.97,7.52,0.0,0.0,0.0,0.0,45.58,11.42,0.84,57.84,43.86,33.8,6.14,0.03,0.0,3.9,0,0,2020-12-19,active,Retail & Trade,Clothing,Rwanda,RW
LN-RW-2020-760620,Rent/Utilities,host,RW-RW-2026-S1-U03649,1990-07-14,2,Southern,Rubavu,2020-07-23,2020-08-01,2020-08-06,231.54,212.02,193.54,Emergency Loan,6,240.3,174.13,32.24,0.85,1.74,31.34,0.0,0.0,19.41,7.28,1.69,0.0,1.94,0.73,0.17,32.26,6.59,0.57,39.41,53.89,32.6,7.53,1.2,2.52,10.03,10,1,2020-10-05,closed,Transport,Moto,Rwanda,RW
LN-KE-2023-842102,Rent/Utilities,host,KE-KE-2022-S1-U00786,1995-09-06,2,Nairobi,Nairobi,2023-10-01,2023-10-12,2023-10-12,985.79,845.23,817.14,Emergency Loan,9,284.73,214.19,46.02,0.86,16.75,6.91,14.9,762.58,602.95,129.83,19.51,114.39,60.29,12.98,1.95,90.79,21.19,4.03,116.02,120.79,80.07,39.43,8.22,1.51,0.0,33,4,2024-02-14,restructured,Agriculture,Dairy,Kenya,KE
LN-RW-2020-612334,Rent/Utilities,host,RW-RW-2022-S1-U02109,1991-06-14,2,Kigali City,Gasabo,2020-11-07,2020-11-24,2020-11-26,1073.32,1066.09,1029.99,Emergency Loan,6,81.05,73.89,5.96,0.61,8.88,0.0,0.0,1100.72,956.1,100.84,27.23,165.11,95.61,10.08,2.72,171.66,17.8,6.02,195.48,262.57,194.51,53.4,18.05,0.09,0.0,26,4,2021-05-07,defaulted,Transport,Logistics,Rwanda,RW
LN-KE-2026-426089,Emergency,refugee,KE-KE-2021-S3-U03678,1985-10-15,2,Rift Valley,Nairobi,2026-08-16,2026-09-11,2026-09-18,893.19,690.36,689.47,Asset Finance,9,540.13,401.17,97.22,0.73,0.0,41.01,0.0,337.81,288.29,64.35,25.73,0.0,0.0,0.0,0.0,76.61,17.95,2.86,97.42,112.17,92.65,31.77,8.58,0.0,0.0,0,0,2026-11-17,active,Construction,Paint,Kenya,KE
LN-RW-2020-954389,Stock purchase,refugee,RW-RW-2020-S1-U04671,2002-01-16,3,Kigali City,Musanze,2020-01-08,2020-01-26,2020-02-01,265.29,248.65,248.62,Asset Finance,6,104.98,98.08,7.22,0.96,0.0,0.0,0.0,171.9,150.54,12.72,5.78,0.0,0.0,0.0,0.0,41.44,3.32,0.96,45.72,47.59,30.11,8.42,2.89,0.0,6.18,0,0,2020-05-31,active,ICT,Mobile Money,Rwanda,RW
LN-RW-2021-484870,Stock purchase,host,RW-RW-2019-S2-U01228,1985-05-26,2,Southern,Musanze,2021-07-19,2021-08-03,2021-08-07,884.72,678.57,646.78,Inventory Loan,18,518.08,375.61,59.62,7.57,0.0,75.28,0.0,248.2,271.16,22.59,26.1,0.0,0.0,0.0,0.0,35.93,4.57,1.45,41.95,27.8,15.39,5.54,0.55,0.0,6.32,0,0,2022-03-27,active,Retail & Trade,Phone Accessories,Rwanda,RW
LN-RW-2020-244964,Stock purchase,refugee,RW-RW-2024-S1-U04181,1992-07-21,1,Western,Rwamagana,2020-02-27,2020-03-19,2020-03-23,139.83,140.84,135.04,Emergency Loan,3,43.16,37.21,6.11,0.6,0.0,0.0,0.0,121.11,97.83,16.83,4.0,0.0,0.0,0.0,0.0,45.01,7.65,1.33,53.99,77.16,52.99,11.91,4.0,0.0,8.26,0,0,2020-04-24,active,Personal Services,Childcare,Rwanda,RW
